-Info- Address to monitor during execution is: 0x0060103c
[3463] debugger started
[3463] PC = 0x4edffad8.  instr = 0x590d8d48
[3463] PC = 0x4edffadf.  instr = 0xc1148948
[3463] PC = 0x4edffae3.  instr = 0x10c28348
[3463] PC = 0x4edffae7.  instr = 0x48028b48
[3463] PC = 0x4edffaea.  instr = 0x74c08548
[3463] PC = 0x4edffaed.  instr = 0x83483374
[3463] PC = 0x4edffaef.  instr = 0x21f88348
[3463] PC = 0x4edffaf3.  instr = 0x8948e376
[3463] PC = 0x4edffad8.  instr = 0x590d8d48
[3463] PC = 0x4edffadf.  instr = 0xc1148948
[3463] PC = 0x4edffae3.  instr = 0x10c28348
[3463] PC = 0x4edffae7.  instr = 0x48028b48
[3463] PC = 0x4edffaea.  instr = 0x74c08548
[3463] PC = 0x4edffaed.  instr = 0x83483374
[3463] PC = 0x4edffaef.  instr = 0x21f88348
[3463] PC = 0x4edffaf3.  instr = 0x8948e376
[3463] PC = 0x4edffad8.  instr = 0x590d8d48
[3463] PC = 0x4edffadf.  instr = 0xc1148948
[3463] PC = 0x4edffae3.  instr = 0x10c28348
[3463] PC = 0x4edffae7.  instr = 0x48028b48
[3463] PC = 0x4edffaea.  instr = 0x74c08548
[3463] PC = 0x4edffaed.  instr = 0x83483374
[3463] PC = 0x4edffaef.  instr = 0x21f88348
[3463] PC = 0x4edffaf3.  instr = 0x8948e376
[3463] PC = 0x4edffad8.  instr = 0x590d8d48
[3463] PC = 0x4edffadf.  instr = 0xc1148948
[3463] PC = 0x4edffae3.  instr = 0x10c28348
[3463] PC = 0x4edffae7.  instr = 0x48028b48
[3463] PC = 0x4edffaea.  instr = 0x74c08548
[3463] PC = 0x4edffaed.  instr = 0x83483374
[3463] PC = 0x4edffaef.  instr = 0x21f88348
[3463] PC = 0x4edffaf3.  instr = 0x8948e376
[3463] PC = 0x4edffad8.  instr = 0x590d8d48
[3463] PC = 0x4edffadf.  instr = 0xc1148948
[3463] PC = 0x4edffae3.  instr = 0x10c28348
[3463] PC = 0x4edffae7.  instr = 0x48028b48
[3463] PC = 0x4edffaea.  instr = 0x74c08548
[3463] PC = 0x4edffaed.  instr = 0x83483374
[3463] PC = 0x4edffaef.  instr = 0x21f88348
[3463] PC = 0x4edffaf3.  instr = 0x8948e376
[3463] PC = 0x4edffad8.  instr = 0x590d8d48
[3463] PC = 0x4edffadf.  instr = 0xc1148948
[3463] PC = 0x4edffae3.  instr = 0x10c28348
[3463] PC = 0x4edffae7.  instr = 0x48028b48
[3463] PC = 0x4edffaea.  instr = 0x74c08548
[3463] PC = 0x4edffaed.  instr = 0x83483374
[3463] PC = 0x4edffaef.  instr = 0x21f88348
[3463] PC = 0x4edffaf3.  instr = 0x8948e376
[3463] PC = 0x4edffad8.  instr = 0x590d8d48
[3463] PC = 0x4edffadf.  instr = 0xc1148948
[3463] PC = 0x4edffae3.  instr = 0x10c28348
[3463] PC = 0x4edffae7.  instr = 0x48028b48
[3463] PC = 0x4edffaea.  instr = 0x74c08548
[3463] PC = 0x4edffaed.  instr = 0x83483374
[3463] PC = 0x4edffaef.  instr = 0x21f88348
[3463] PC = 0x4edffaf3.  instr = 0x8948e376
[3463] PC = 0x4edffaf5.  instr = 0x48f18948
[3463] PC = 0x4edffaf8.  instr = 0x48c12948
[3463] PC = 0x4edffafb.  instr = 0x0ff98348
[3463] PC = 0x4edffaff.  instr = 0x01fb870f
[3463] PC = 0x4edffb05.  instr = 0x48f98948
[3463] PC = 0x4edffb08.  instr = 0x48c12948
[3463] PC = 0x4edffb0b.  instr = 0x26058d48
[3463] PC = 0x4edffb12.  instr = 0xc8148948
[3463] PC = 0x4edffb16.  instr = 0x10c28348
[3463] PC = 0x4edffb1a.  instr = 0x48028b48
[3463] PC = 0x4edffb1d.  instr = 0x75c08548
[3463] PC = 0x4edffb20.  instr = 0x854dcd75
[3463] PC = 0x4edffaef.  instr = 0x21f88348
[3463] PC = 0x4edffaf3.  instr = 0x8948e376
[3463] PC = 0x4edffaf5.  instr = 0x48f18948
[3463] PC = 0x4edffaf8.  instr = 0x48c12948
[3463] PC = 0x4edffafb.  instr = 0x0ff98348
[3463] PC = 0x4edffaff.  instr = 0x01fb870f
[3463] PC = 0x4edffb05.  instr = 0x48f98948
[3463] PC = 0x4edffb08.  instr = 0x48c12948
[3463] PC = 0x4edffb0b.  instr = 0x26058d48
[3463] PC = 0x4edffb12.  instr = 0xc8148948
[3463] PC = 0x4edffb16.  instr = 0x10c28348
[3463] PC = 0x4edffb1a.  instr = 0x48028b48
[3463] PC = 0x4edffb1d.  instr = 0x75c08548
[3463] PC = 0x4edffb20.  instr = 0x854dcd75
[3463] PC = 0x4edffaef.  instr = 0x21f88348
[3463] PC = 0x4edffaf3.  instr = 0x8948e376
[3463] PC = 0x4edffaf5.  instr = 0x48f18948
[3463] PC = 0x4edffaf8.  instr = 0x48c12948
[3463] PC = 0x4edffafb.  instr = 0x0ff98348
[3463] PC = 0x4edffaff.  instr = 0x01fb870f
[3463] PC = 0x4edffb05.  instr = 0x48f98948
[3463] PC = 0x4edffb08.  instr = 0x48c12948
[3463] PC = 0x4edffb0b.  instr = 0x26058d48
[3463] PC = 0x4edffb12.  instr = 0xc8148948
[3463] PC = 0x4edffb16.  instr = 0x10c28348
[3463] PC = 0x4edffb1a.  instr = 0x48028b48
[3463] PC = 0x4edffb1d.  instr = 0x75c08548
[3463] PC = 0x4edffb20.  instr = 0x854dcd75
[3463] PC = 0x4edffaef.  instr = 0x21f88348
[3463] PC = 0x4edffaf3.  instr = 0x8948e376
[3463] PC = 0x4edffaf5.  instr = 0x48f18948
[3463] PC = 0x4edffaf8.  instr = 0x48c12948
[3463] PC = 0x4edffafb.  instr = 0x0ff98348
[3463] PC = 0x4edffaff.  instr = 0x01fb870f
[3463] PC = 0x4edffb05.  instr = 0x48f98948
[3463] PC = 0x4edffb08.  instr = 0x48c12948
[3463] PC = 0x4edffb0b.  instr = 0x26058d48
[3463] PC = 0x4edffb12.  instr = 0xc8148948
[3463] PC = 0x4edffb16.  instr = 0x10c28348
[3463] PC = 0x4edffb1a.  instr = 0x48028b48
[3463] PC = 0x4edffb1d.  instr = 0x75c08548
[3463] PC = 0x4edffb20.  instr = 0x854dcd75
[3463] PC = 0x4edffb22.  instr = 0x0fed854d
[3463] PC = 0x4edffb25.  instr = 0x0080840f
[3463] PC = 0x4edffb2b.  instr = 0x26058b48
[3463] PC = 0x4edffb32.  instr = 0x74c08548
[3463] PC = 0x4edffb35.  instr = 0x014c0474
[3463] PC = 0x4edffb37.  instr = 0x0868014c
[3463] PC = 0x4edffb3b.  instr = 0x0e058b48
[3463] PC = 0x4edffb42.  instr = 0x74c08548
[3463] PC = 0x4edffb45.  instr = 0x014c0474
[3463] PC = 0x4edffb47.  instr = 0x0868014c
[3463] PC = 0x4edffb4b.  instr = 0x0e058b48
[3463] PC = 0x4edffb52.  instr = 0x74c08548
[3463] PC = 0x4edffb55.  instr = 0x014c0474
[3463] PC = 0x4edffb57.  instr = 0x0868014c
[3463] PC = 0x4edffb5b.  instr = 0x06058b48
[3463] PC = 0x4edffb62.  instr = 0x74c08548
[3463] PC = 0x4edffb65.  instr = 0x014c0474
[3463] PC = 0x4edffb67.  instr = 0x0868014c
[3463] PC = 0x4edffb6b.  instr = 0xfe058b48
[3463] PC = 0x4edffb72.  instr = 0x74c08548
[3463] PC = 0x4edffb75.  instr = 0x014c0474
[3463] PC = 0x4edffb77.  instr = 0x0868014c
[3463] PC = 0x4edffb7b.  instr = 0x6e058b48
[3463] PC = 0x4edffb82.  instr = 0x74c08548
[3463] PC = 0x4edffb85.  instr = 0x014c0474
[3463] PC = 0x4edffb87.  instr = 0x0868014c
[3463] PC = 0x4edffb8b.  instr = 0x2e058b48
[3463] PC = 0x4edffb92.  instr = 0x74c08548
[3463] PC = 0x4edffb95.  instr = 0x014c0474
[3463] PC = 0x4edffb97.  instr = 0x0868014c
[3463] PC = 0x4edffb9b.  instr = 0xee058b48
[3463] PC = 0x4edffba2.  instr = 0x74c08548
